"","aic","r2","adjr2"
"437",2466.511,0.5766674,0.1778563
"438",2455.188,0.4240251,0.08760395
"439",2490.635,0.4170898,0.05548862
"440",2486.901,0.5424432,0.126932
"441",2433.005,0.6334848,0.249668
"442",2470.095,0.4647024,0.09629388
"443",2465.305,0.4661681,0.101475
"444",2462.849,0.4923019,0.1196667
"445",2427.086,0.6626956,0.2846244
"446",2441.894,0.5471963,0.1691513
"447",2434.427,0.5368074,0.1661328
"448",2467.843,0.4761977,0.1087604
"449",2465.444,0.5253828,0.1378414
"450",2454.074,0.4458297,0.1052346
"451",2462.076,0.4684425,0.1039153
"452",2455.693,0.5347669,0.1532025
"453",2462.819,0.5425746,0.1526742
"454",2479.869,0.2987445,0.01734684
"455",2473.171,0.447564,0.08195989
"456",2476.711,0.4005136,0.0587422
"457",2489.953,0.4537033,0.0734878
"458",2481.612,0.4505473,0.07765711
"459",2449.428,0.4877352,0.1320364
"460",2457.246,0.5814396,0.1846638
"461",2484.382,0.4335584,0.06404911
"462",2473.904,0.3853531,0.04909974
"463",2484.022,0.3765011,0.03782476
"464",2451.765,0.574821,0.1857217
"465",2450.545,0.5938961,0.1992609
"466",2482.562,0.526834,0.1214323
"467",2461.219,0.4358406,0.08830453
"468",2428.462,0.6634249,0.2890179
"469",2443.279,0.5666019,0.1846771
"470",2442.343,0.5271948,0.1610007
"471",2444.342,0.5558412,0.1804601
"472",2467.148,0.3428799,0.04790087
"473",2462.46,0.533526,0.1445606
"474",2451.115,0.5421043,0.1625733
"475",2446.12,0.5005709,0.1396557
"476",2478.535,0.2922242,0.01688525
"477",2462.069,0.4865936,0.1167497
"478",2460.437,0.6051697,0.1987142
"479",2465.948,0.5502451,0.1556747
"480",2453.424,0.5352019,0.157237
"481",2454.508,0.5334489,0.1480121
"482",2453.807,0.5747594,0.1786752
"483",2384.24,0.6660127,0.3261832
"484",2482.927,0.4742223,0.08453712
"485",2473.996,0.5178229,0.1248181
"486",2480.11,0.441897,0.07246323
"487",2489.219,0.4436211,0.062933
"488",2488.883,0.2864293,0.00583392
"489",2456.698,0.4598427,0.1090066
"490",2451.649,0.4692289,0.1153772
"491",2464.546,0.5736663,0.1806371
"492",2446.619,0.5300167,0.1576465
"493",2490.37,0.2149701,-0.006386439
"494",2444.345,0.5649955,0.1790593
"495",2442.765,0.6413406,0.2491031
"496",2481.971,0.5145044,0.1095913
"497",2464.023,0.3589355,0.0493367
"498",2500.198,0.4969544,0.08033441
"499",2464.084,0.4647218,0.1035153
"500",2452.865,0.4957873,0.1376337
"501",2462.007,0.5076534,0.1339973
"502",2447.557,0.61449,0.2233505
"503",2468.761,0.3877871,0.05852788
"504",2482.577,0.4892476,0.0979225
"505",2431.663,0.57201,0.2053708
"506",2459.9,0.5948046,0.1971361
"507",2449.188,0.5021843,0.1345897
"508",2475.949,0.3410496,0.03199371
"509",2432.686,0.6608159,0.2717409
"510",2476.007,0.4831282,0.1019979
"511",2460.247,0.4259053,0.0822674
"512",2479.357,0.3949815,0.05009801
"513",2466.927,0.4403127,0.08191348
"514",2468.096,0.5040686,0.1190223
